0x800001b8:bne    gp,gp,0x000       (0x01010101!=0x01010101)=0->pc=0x800001bc
0x800001bc:bne    tp,tp,0x000       (0x10101010!=0x10101010)=0->pc=0x800001c0
0x800001c0:bne    a2,a2,0x000       (0xa2a2a2a2!=0xa2a2a2a2)=0->pc=0x800001c4
0x800001c4:bne    a5,s10,0x002       (0xa5a5a5a5!=0xeeeeeeee)=1->pc=0x800001c8
0x800001c8:blt    s0,t6,0x000         (0x44444444<0x26262626)=0->pc=0x800001cc
0x800001cc:blt    tp,a7,0x000         (0x10101010<0xa7a7a7a7)=0->pc=0x800001d0
0x800001d0:blt    s9,s9,0x000         (0xdddddddd<0xdddddddd)=0->pc=0x800001d4
0x800001d4:blt    s11,a0,0x000         (0xffffffff<0xa0a0a0a0)=0->pc=0x800001d8
0x800001d8:blt    s4,gp,0x002         (0x88888888<0x01010101)=1->pc=0x800001dc
0x800001dc:bge    s8,t1,0x000   (0xcccccccc>=0x21212121)=0->pc=0x00000000
0x800001e0:bge    t3,t5,0x000   (0x23232323>=0x25252525)=0->pc=0x00000000
0x800001e4:bge    a3,t1,0x000   (0xa3a3a3a3>=0x21212121)=0->pc=0x00000000
0x800001e8:bge    gp,tp,0x000   (0x01010101>=0x10101010)=0->pc=0x00000000
0x800001ec:bge    s3,s11,0x002   (0x77777777>=0xffffffff)=1->pc=0x00000002
0x800001f0:bltu    s11,s10,0x000   (0xffffffff<0xeeeeeeee)=0->pc=0x800001f4
0x800001f4:bltu    s3,t5,0x000   (0x77777777<0x25252525)=0->pc=0x800001f8
0x800001f8:bltu    a4,t4,0x000   (0xa4a4a4a4<0x24242424)=0->pc=0x800001fc
0x800001fc:bltu    tp,tp,0x000   (0x10101010<0x10101010)=0->pc=0x80000200
0x80000200:bltu    s11,zero,0x002   (0xffffffff<0x00000000)=0->pc=0x80000204
0x80000204:bgeu    s10,s11,0x000   (0xeeeeeeee>=0xffffffff)=0->pc=0x80000208
0x80000208:bgeu    t4,s4,0x000   (0x24242424>=0x88888888)=0->pc=0x8000020c
0x8000020c:bgeu    a3,a4,0x000   (0xa3a3a3a3>=0xa4a4a4a4)=0->pc=0x80000210
0x80000210:bgeu    gp,a5,0x000   (0x01010101>=0xa5a5a5a5)=0->pc=0x80000214
0x80000214:bgeu    s11,s2,0x002   (0xffffffff>=0x66666666)=1->pc=0x80000218
0x80000218:jalr   zero,ra,0x000       pc=0x800006c4+0x00000000,zero=0x8000021c
0x800006c4:jal    ra,0xffdac    pc=0x8000021c,ra=0x800006c8
0x8000021c:slli   t0,ra,30        t0=0x800006c8<<30=0x00000000
0x80000220:slli   t1,a1,24        t1=0xa1a1a1a1<<24=0xa1000000
0x80000224:slli   t2,s2,20        t2=0x66666666<<20=0x66600000
0x80000228:slli   t3,t5,16        t3=0x25252525<<16=0x25250000
0x8000022c:slli   zero,s11,30        zero=0xffffffff<<30=0xc0000000
0x80000230:beq    zero,s11,0x000   (0x00000000==0xffffffff)=0->pc=0x80000234
0x80000234:slti   t3,t0,0x003  t3=(0x00000000<0x00000007)=1
0x80000238:slti   t4,s11,0x7ff  t4=(0xffffffff<0xffffffff)=0
0x8000023c:slti   t5,s3,0x380  t5=(0x77777777<0x00000700)=0
0x80000240:slti   t6,s4,0x7ff  t6=(0x88888888<0xffffffff)=1
0x80000244:slti   zero,gp,0x269  zero=(0x01010101<0x000004d2)=0
0x80000248:beq    t3,t4,0x000   (0x00000001==0x00000000)=0->pc=0x8000024c
0x8000024c:beq    t5,t6,0x000   (0x00000000==0x00000001)=0->pc=0x80000250
0x80000250:sltiu   t0,s11,0x7ff  t0=(0xffffffff<0xffffffff)=0
0x80000254:sltiu   t1,s3,0x600  t1=(0x77777777<0xfffffc00)=1
0x80000258:sltiu   t2,gp,0x7ff  t2=(0x01010101<0xffffffff)=1
0x8000025c:sltiu   t3,tp,0x2d5  t3=(0x10101010<0x000005aa)=0
0x80000260:sltiu   zero,ra,0x000  zero=(0x800006c8<0x00000000)=0
0x80000264:beq    t0,t1,0x000   (0x00000000==0x00000001)=0->pc=0x80000268
0x80000268:beq    t2,t3,0x000   (0x00000001==0x00000000)=0->pc=0x8000026c
0x8000026c:srli   zero,ra,15  zero=0x800006c8>>15=0x00010000
0x80000270:srli   zero,gp,16  zero=0x01010101>>16=0x00000101
0x80000274:srli   zero,sp,7  zero=0x80007ff0>>7=0x010000ff
0x80000278:srli   zero,tp,8  zero=0x10101010>>8=0x00101010
0x8000027c:srli   s11,s11,30  s11=0xffffffff>>30=0x00000003
0x80000280:beq    t0,s11,0x000   (0x00000000==0x00000003)=0->pc=0x80000284
0x80000284:srai   s10,s10,31  s10=0xeeeeeeee>>>31=0xffffffff
0x80000288:srai   t0,s9,31  t0=0xdddddddd>>>31=0xffffffff
0x8000028c:srai   zero,s7,7  zero=0xbbbbbbbb>>>7=0xff777777
0x80000290:srai   zero,a4,8  zero=0xa4a4a4a4>>>8=0xffa4a4a4
0x80000294:srai   zero,t5,15  zero=0x00000000>>>15=0x00000000
0x80000298:bne    t0,s10,0x000       (0xffffffff!=0xffffffff)=0->pc=0x8000029c
0x8000029c:sll    t6,s9,t6   t6=0xdddddddd<<1=0xbbbbbbba
0x800002a0:sll    t5,a4,s0   t5=0xa4a4a4a4<<4=0x4a4a4a40
0x800002a4:sll    t4,t6,a6   t4=0xbbbbbbba<<6=0xeeeeee80
0x800002a8:sll    t3,a0,a1   t3=0xa0a0a0a0<<1=0x41414140
0x800002ac:sll    zero,s8,zero   zero=0xcccccccc<<0=0xcccccccc
0x800002b0:bge    t4,t5,0x000   (0xeeeeee80>=0x4a4a4a40)=0->pc=0x00000000
0x800002b4:slt    t0,a0,s0   t0=(0xa0a0a0a0<0x44444444)=1
0x800002b8:slt    t1,s1,a7   t1=(0x55555555<0xa7a7a7a7)=0
0x800002bc:slt    t2,s10,gp   t2=(0xffffffff<0x01010101)=1
0x800002c0:slt    t3,tp,s8   t3=(0x10101010<0xcccccccc)=0
0x800002c4:slt    t4,ra,a5   t4=(0x800006c8<0xa5a5a5a5)=1
0x800002c8:slt    t5,zero,a3   t5=(0x00000000<0xa3a3a3a3)=0
0x800002cc:slt    t6,t6,s11   t6=(0xbbbbbbba<0x00000003)=1
0x800002d0:bltu    t0,t1,0x000   (0x00000001<0x00000000)=0->pc=0x800002d4
0x800002d4:bgeu    t1,t2,0x000   (0x00000000>=0x00000001)=0->pc=0x800002d8
0x800002d8:sltu    t0,a0,s0   t0=(0xa0a0a0a0<0x44444444)=0
0x800002dc:sltu    t1,s1,a7   t1=(0x55555555<0xa7a7a7a7)=1
0x800002e0:sltu    t2,s10,gp   t2=(0xffffffff<0x01010101)=0
0x800002e4:sltu    t3,tp,s8   t3=(0x10101010<0xcccccccc)=1
0x800002e8:sltu    t4,a5,ra   t4=(0xa5a5a5a5<0x800006c8)=0
0x800002ec:sltu    t5,zero,a3   t5=(0x00000000<0xa3a3a3a3)=1
0x800002f0:sltu    t6,s1,t6   t6=(0x55555555<0x00000001)=0
0x800002f4:blt    t1,t0,0x000         (0x00000001<0x00000000)=0->pc=0x800002f8
0x800002f8:bge    t2,t3,0x000   (0x00000000>=0x00000001)=0->pc=0x00000000
0x800002fc:srl    t6,a4,s4   t6=0xa4a4a4a4>>8=0x00a4a4a4
0x80000300:srl    t5,s4,a4   t5=0x88888888>>4=0x08888888
0x80000304:srl    t4,ra,sp   t4=0x800006c8>>16=0x00008000
0x80000308:srl    t3,sp,ra   t3=0x80007ff0>>8=0x0080007f
0x8000030c:srl    t2,gp,tp   t2=0x01010101>>16=0x00000101
0x80000310:srl    t1,tp,gp   t1=0x10101010>>1=0x08080808
0x80000314:srl    t0,s11,s0   t0=0x00000003>>4=0x00000000
0x80000318:beq    t3,t4,0x000   (0x0080007f==0x00008000)=0->pc=0x8000031c
0x8000031c:bge    t0,t1,0x000   (0x00000000>=0x08080808)=0->pc=0x00000000
0x80000320:sra    t0,a5,t1   t0=0xa5a5a5a5>>>8=0xffa5a5a5
0x80000324:sra    t1,s5,t2   t1=0x99999999>>>1=0xcccccccc
0x80000328:sra    t2,t5,t3   t2=0x08888888>>>31=0x00000000
0x8000032c:sra    t3,s11,t4   t3=0x00000003>>>0=0x00000003
0x80000330:sra    t4,s9,t5   t4=0xdddddddd>>>8=0xffdddddd
0x80000334:sra    t5,sp,t6   t5=0x80007ff0>>>4=0xf80007ff
0x80000338:sra    t6,gp,t0   t6=0x01010101>>>5=0x00080808
0x8000033c:bltu    t4,t3,0x000   (0xffdddddd<0x00000003)=0->pc=0x80000340
0x80000340:bge    t1,t0,0x000   (0xcccccccc>=0xffa5a5a5)=0->pc=0x00000000
0x80000344:jalr   zero,ra,0x000       pc=0x800006c8+0x00000000,zero=0x80000348
0x800006c8:jal    ra,0xffe40    pc=0x80000348,ra=0x800006cc
0x80000348:addi   t0,s11,0xfff         t0=0x00000003+0xffffffff=0x00000002
0x8000034c:addi   t1,t1,0x000         t1=0xcccccccc+0x00000000=0xcccccccc
0x80000350:addi   t2,a5,0x080         t2=0xa5a5a5a5+0x00000080=0xa5a5a625
0x80000354:addi   t3,s5,0x0ff         t3=0x99999999+0x000000ff=0x99999a98
0x80000358:addi   t4,t5,0x3ff         t4=0xf80007ff+0x000003ff=0xf8000bfe
0x8000035c:addi   t5,t1,0x400         t5=0xcccccccc+0x00000400=0xccccd0cc
0x80000360:addi   t6,a1,0x800         t6=0xa1a1a1a1+0xfffff800=0xa1a199a1
0x80000364:blt    t1,t6,0x000         (0xcccccccc<0xa1a199a1)=0->pc=0x80000368
0x80000368:xori   t6,t5,0x7ff  t6=0xccccd0cc^0xffffffff=0x33332f33
0x8000036c:xori   t5,t6,0x000  t5=0x33332f33^0x00000001=0x33332f32
0x80000370:xori   t4,s10,0x3ff  t4=0xffffffff^0x000007ff=0xfffff800
0x80000374:xori   t3,a3,0x001  t3=0xa3a3a3a3^0x00000003=0xa3a3a3a0
0x80000378:xori   t2,a1,0x400  t2=0xa1a1a1a1^0xfffff800=0x5e5e59a1
